-123951140364796 2071276485502435766784
-115558069215868 2091481048226636263296
-285949281832138300/7921 1270247517129493767090654720/704969
-23246449842799228/2401 183036528307596159881220096/117649
55297994602532 666948242385796228704
3047150870503190948/51529 -6977452596952147667391272832/11697083
-27075612902980 -1725069603621847534920
-107014377210492 -2099944335546549669760
-174811553635228 -1591193002027197086496
-13894179260783190971020/66896041 -5763052484286087585732722679600/547142719339
-19378390654648425865084/94965025 541812084108860536388666035928064/925434168625
-202108441561492 720855506087653222440
-180061730351100 1486383064705552977920
-1540660576756 -1467154602808057914696
50413163862020 751763376788397649920
-69382688829428227260/421201 -479055974881221962476469440000/273359449
77498280378500 -90126808579414984320
-4595483661954652/169 -3792264914178248788000512/2197
-499214201731399516/32041 9269913539371572745389609984/5735339
