361860488748 -176871865163754464
118545593720 14918677367647004
104218295360 23486304942057556
901455550292 827007091110154328
954494767908 -904325965295795416
69442373132 -43002811916796512
58475322180 -48733182327803336
-282134583244 -15288505170984776
126855903943 9873471120628896
164303427527 -15358571392422832
135249398308 4951808012504616
150690523348 6497124295095336
2499010508984/25 -3247428766171745452/125
135326185480 -4910334123725964
414831600656 -228246005143984124
109194920432 -20539379548628188
44789261976756/625 653389193355819054904/15625
