20996207299327120/9 3042364463729902631075840/27
2031681680938015 91576374648318398779720
11376978808720/9 29169789275880431360/27
1161381023008 901281061449665296
767993979446728720/1520289 -131871617704865162662576640/1874516337
512672309128 -59768117063724776
116429823697936/225 178072126864345552384/3375
1914480521594383120/4297329 1313841922579631549483868160/8908363017
1771839391525/4 1205027753784672545/8
38517786167438480/19321 -6778050520988774723521280/2685619
4429091818124736/2209 -264617025078095561415600/103823
4670424551167760/1681 -301523776145136902156800/68921
4512869707920 -9377433609854943360
461320342160 127742356275497600
134333489591680 -1556915063639905655920
137500443158288 -1612297373769873865984
