337222719496/9 -329864472137797120/27
72701630120410628797224/579548760961 13028913465371102097688659766207200/441199460293151041
-58054582441069160/2047761 -91295831915851752202233968/2930345991
23419714321596936/1075369 -19972585006182508817230080/1115157653
11764010664 -21178153694982240
2402768419743240/326041 -4192578068589591873363072/186169411
-31276304856 -31665621870012960
-92582527274136/1681 -2378032798599625638240/68921
28627698161640/49 150321700135339982304/343
10144883836944 -32310374746739914440
497743342920 -342258088077341568
164821077121224/961 -1715362345167327225600/29791
84124540752 -7505002555556088
171074343504456/2809 -269380531148598302400/148877
20625994814056/441 -78708878397221024800/9261
