-258243278116/25 220172187125123352/125
144492470036/25 69921996890495616/125
50728404275124/4225 143164410271168256768/274625
1091462863802228/167281 31254854281133567616000/68417929
214685932924/9 81493491949300088/27
1714242017972/49 2044596380739750720/343
49799830268 10604832021272520
63407263028 15505967226879360
3588470093853908/44521 211058006069787275831040/9393931
30346417727252/169 166535427808953322560/2197
-7607813692 1753323973919280
-1254279153868/289 7928263504209484800/4913
-2964269157 1520189181474320
8064834085477268/885481 147746902293045977826240/833237621
