-81991152982383456 -29234699297883101002086288
87035233352703798517656/4068289 -120986838332443964702635697737080864/8205738913
1837561233463396824/25 108083622305654642329187232/125
250931722417936352186037/17530969 -1255563937783724035459206610052391735/73402167203
-2768597926785121153248/24649 71393882999216705596537236928560/3869893
-905210516577245181360267/14830201 -1746889420172365721120280001535480535/57111104051
2341703025777585696/49 -1127453124919901274907601904/343
820417276917271262337864/4818025 618407619945763684589229667189687488/10575564875
115856613547428493032/2809 -1028014784844561511678393352640/148877
2718044440869897561408/3721 140241083406491330385610852591920/226981
25073060388729525465468/1125721 -17244640494437498611534152021065040/1194389981
-75281603600083672813224/638401 -6891326047165882960633226333854752/510082399
76107329795331933 3780174730389576872317965
-11319904482861548280/289 -143190515253182219336455381440/4913
8518290788250987765444047688/60856449481 595925713302261204415977601048664372099520/15012738378917371
-26256237718836027 -27235510929755289644788305
1826825322903199500120/18769 -40618325093368738823466432971040/2571353
8957403323989743373652832/118875409 4107686092605101886064011116123193360/1296098584327
456986315106400248093062976/5479996729 -3368362196016325402208754351200403017904/405667717857683
107873857377798284993304/1442401 -4599228503453986265456825746786272/1732323601
