12832273642105428 1245260752064769860604800
4381929709798228 -38967167293485042550400
7423771247220388 -392203527369502446781040
-8552412144851372 -161738896807576104016000
6299035560700228 241805546185982009831600
3894192130946628 -64225315424458449646000
1834216650068901308/361 645735369658191053686845400/6859
3666303276060628 85383431934433080448000
5297225761868628 -118566039483798709264000
2381895487864788 210815715630333618703360
5756227490329428 173444232330726040611200
-6956650083002252 473761682517429693265120
202609779757588 393274729385319577956160
511087542514388 370508645289821191112960
3550676905354628 -96631992978658001942000
20640437685032386292/4489 -14491612335888042163654102400/300763
413143320786328468/81 -70204826566866861033673600/729
4091703205599828 -48584352339312905315200
2096181981879188 237405682907121286317760
4121791838204628 46632177212648357792000
