-3532652424922267824/25 -367151504614085060029195776/125
-53616028299927072 36692264061775472741295120
-116749781208946032 29435082912255126658893120
38813682792431568 -12544353477990043296837120
58547772535750608 584310567957922160340480
-36527705296878349872/841 -867135548732312184100452942720/24389
1458783463319820048 -1755827459408733182435545920
116567088479982408 -22444822499851490263850520
88297727778133104 -6078324528267367519810656
-14955451541648688 30180692770397242400241408
-33656508762002352 34053913304488841353150080
58606291409139768 237584854269786031440120
384510240310972368 -227389570073141743532229120
32220893943701328 15241696876125934475114880
-100691456994494592 34545543072811552227485520
11259001958484912 22762735561232662195797792
-22121468361120445872/841 797076699848362509643650977280/24389
6626895815926492176/25 15458388992162720373203164224/125
88252510990242243 -6047695541781301588232130
84813654806088528 -3385194821740234657514880
