800843008889340065933/4 22662214192512590008562264897245/8
42442164267055658362548/2209 8701952920596209359272374301679320/103823
3628747787122536572 5831331092976362432255958160
787332804342257768776332428/227919409 18222459203329889903854347027331278047360/3440899317673
741853896556258610112000300/366301321 1805598876907007668986024210707993497344/7010640982619
-12485261071234691432503/30976 1543303351231534033744866082389115/5451776
-238812056350738988148/361 5935049956215803477536248268320/6859
-293081853619198452268/361 6935025097300555124364172982200/6859
-1442933585594510260 855886722429840245988561536
-1557780723831627588 594306839392544666988709200
-5897833401399434050661628/14205361 18227947190398010584608805503291007560/53540005609
-457223424141875570767117108/278589481 135782230519500917990683104045693222880/4649937027371
-87890134403312811188/81 806326291888696826881192744640/729
-100191753661585299368235908/71216721 546777539690361334910058081938950822960/600997908519
13739312327540473408854861138828/5137262501809 34239299901852279927803355995473303634344268160/11643877735262694377
-910625253046706588 1069280193707526339715675800
-16392357736423968551341172/12552849 45280707253852690614261108879624321280/44474744007
10631314943476712080850468/1495729 33395997865402075668641072652382839640/1829276567
3535860017256973696499977292/850947241 186000623991162291900563513469662979951200/24822981967211
150175755816691268836012/73441 9792783368627870625554017854331680/19902511
76661249390009833640648932/17214201 604750718843999407321942776505152858280/71421719949
